alpha_best_1,alpha_best_2,alpha_best_3,mse_w_S,mse_T,mse_S
3.0759489350517075,0.7365921002267153,1.9893008729945925,1.1112109038988707,1.0319127500636947,2.632525957031328
2.752603756544456,0.5145945712287354,2.0672728326027996,2.19155974026957,1.358585638889259,3.6275615697641346
1.752418848315645,0.821887456479527,2.1147775699254647,1.1331160588612124,1.006298502874746,3.049612759019773
1.462508577359624,0.913458774228717,2.06537875758683,1.6376455902986247,1.2339037839094444,2.7972675684337704
3.3492186977355036,0.9083534128612231,1.8173589916717443,1.210510765894335,1.125504612165331,2.144054308231003
2.9971380323145937,1.1961278639771136,1.627537441312307,0.9622690343292792,0.9826687864317039,2.6065353735949204
1.4430572449670367,0.8168484460001543,2.0570049869311697,3.7013317491128865,1.8811170149432663,5.859712034094862
3.4328650117595947,0.8992249226610555,1.8953992353552618,1.52413097195935,1.134926103780744,2.589334275293366
0.4611118432357383,0.870917332904577,2.1327011837108163,1.3462138614320516,1.183941894172402,2.055697000621825
1.8754630798250755,1.1180072323649668,1.8812579597717989,2.2053845413290603,1.1633559628519397,4.834740043791657
1.793967597696163,0.9966744157249612,1.9037915131774321,2.0505973781530837,1.4154513836911946,3.3368911228366813
1.8187536107326179,1.0678024618841315,1.933178126144692,2.3344529146031148,1.4072960587114403,3.8165850679897497
3.4524609517780576,0.8454091361799886,1.8851285922660028,1.1636336337287498,1.118720957308854,2.1498591579311634
2.362922036202103,1.060753312351315,1.8570257469378186,1.096122455422309,1.0780548125853497,1.8456398219472716
2.063384059728031,0.835282451027342,2.085698081670538,1.5648394336674778,1.2597147949824643,2.98502355491522
1.1945302644613096,1.2132598778048942,1.790556263324569,1.283310454646042,1.097611645010338,2.643031932098005
1.5892366945743661,1.0846429368716544,1.8894951636552844,1.1739283724740222,1.0772753358176594,1.9592352412340186
3.949671494726225,1.0487880984101852,1.6618785733628412,1.381920336081875,1.350260723775181,2.7729332772376885
2.046753059323773,0.894781317647445,2.0439784766813873,1.948455829788801,1.4299360951351046,3.1893262839724357
3.9300282602864782,0.8417179645853501,1.7584666411245318,1.201955714837072,1.0722241947612623,1.7919065783131105
2.205631731447807,1.1786286278419542,1.7600782930561563,1.228128208043213,1.1354190827622004,2.332957326220222
2.05675585803129,1.19285765670385,1.7698847277845653,1.634671962979703,1.1944811436749065,3.838038418044453
0.6652551975299561,0.9749029860379123,2.003761690475216,3.6418022782875177,2.4226540440401276,5.395934918374519
3.8635777118420087,0.8929619472269891,1.8465535437995613,1.0799753650001649,1.0354758087814913,1.5610168112406473
2.252967278695349,1.0086730517437672,1.8872739113930295,1.0979364965139156,0.9489926701141358,1.9253484649885217
1.8517615238019614,0.9942314740785392,2.052842718216547,1.1050738355263794,1.0439173708435356,2.4700952128152887
1.918467614777377,0.680440366412442,2.143557886845346,1.360308813950291,1.0934839278733453,2.529734122863255
